reverse_design_rank,match_rank,candidate_on_off_ratio,candidate_mode,candidate_state_count,required_crossbar_size,required_weight_bits,required_adc_bits,validation_adjusted_score,relative_hardware_cost_proxy,matched_device_id,matched_study_id,matched_family,matched_on_off_ratio,matched_mode,matched_state_count_available,matched_physical_state_count,matched_parameter_source,matched_precision_basis,match_distance,ratio_log10_distance,mode_mismatch,state_count_distance,state_requirement_status,match_class,matched_evidence_coverage_fraction,matched_scenario_status,matched_scenario_reasons
19,3,6.813303,ANALOG,0,256,7,8,96.03140939601732,2560.0,TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,80.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,1.0697322837560652,1.0697322837560652,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,LARGE_GAP,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
20,1,3.718072,GRADUAL_MULTILEVEL,0,256,7,8,96.035742562684,2560.0,TiOx_02_Pt,10.1038/s41598-019-44607-3,TiOx,2.128684,GRADUAL_MULTILEVEL,0,0,absolute,IDEALIZED_GRADUAL_MAPPING,0.24220659972786274,0.24220659972786274,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,CLOSE_EXISTING_PROFILE,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
20,2,3.718072,GRADUAL_MULTILEVEL,0,256,7,8,96.035742562684,2560.0,TiOx_02_Au,10.1038/s41598-019-44607-3,TiOx,1.705978,GRADUAL_MULTILEVEL,0,0,absolute,IDEALIZED_GRADUAL_MAPPING,0.3383443692953361,0.3383443692953361,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,CLOSE_EXISTING_PROFILE,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
20,3,3.718072,GRADUAL_MULTILEVEL,0,256,7,8,96.035742562684,2560.0,TiOx_02_Ni,10.1038/s41598-019-44607-3,TiOx,1.10723,GRADUAL_MULTILEVEL,0,0,absolute,IDEALIZED_GRADUAL_MAPPING,0.5260799512502957,0.5260799512502957,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,MODERATE_GAP,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
21,1,140.785336,ANALOG,0,256,6,8,96.05808271702742,2560.0,TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,80.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,0.24546743467538756,0.24546743467538756,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,CLOSE_EXISTING_PROFILE,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
21,2,140.785336,ANALOG,0,256,6,8,96.05808271702742,2560.0,HfOx_02,10.1088/2634-4386/ac7327,HfOx,5.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,1.4495874173313124,1.4495874173313124,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,LARGE_GAP,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
21,3,140.785336,ANALOG,0,256,6,8,96.05808271702742,2560.0,TiOx_04,10.1007/s42835-019-00107-y,TiOx,76.0,GRADUAL_MULTILEVEL,0,0,normalized_from_ratio,IDEALIZED_GRADUAL_MAPPING,1.7677438293865395,0.2677438293865395,1.0,0.0,NOT_REQUIRED_OR_UNKNOWN,LARGE_GAP,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
22,1,45.4,ANALOG,0,256,6,8,96.03962538369407,2560.0,TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,80.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,0.24603413413483954,0.24603413413483954,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,CLOSE_EXISTING_PROFILE,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
22,2,45.4,ANALOG,0,256,6,8,96.03962538369407,2560.0,HfOx_02,10.1088/2634-4386/ac7327,HfOx,5.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,0.9580858485210851,0.9580858485210851,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,MODERATE_GAP,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
22,3,45.4,ANALOG,0,256,6,8,96.03962538369407,2560.0,HfZrOx_01,10.1002/pssr.202000524,HfZrOx,2.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,1.3560258571931227,1.3560258571931227,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,LARGE_GAP,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
23,1,140.785336,GRADUAL_MULTILEVEL,0,256,6,8,96.05311331653904,2560.0,TiOx_04,10.1007/s42835-019-00107-y,TiOx,76.0,GRADUAL_MULTILEVEL,0,0,normalized_from_ratio,IDEALIZED_GRADUAL_MAPPING,0.2677438293865395,0.2677438293865395,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,CLOSE_EXISTING_PROFILE,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
23,2,140.785336,GRADUAL_MULTILEVEL,0,256,6,8,96.05311331653904,2560.0,HfOx_01,10.1109/TNANO.2024.3485213,HfOx,45.4,GRADUAL_MULTILEVEL,0,0,absolute,IDEALIZED_GRADUAL_MAPPING,0.4915015688102271,0.4915015688102271,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,CLOSE_EXISTING_PROFILE,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
23,3,140.785336,GRADUAL_MULTILEVEL,0,256,6,8,96.05311331653904,2560.0,TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,80.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,1.7454674346753876,0.24546743467538756,1.0,0.0,NOT_REQUIRED_OR_UNKNOWN,LARGE_GAP,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
24,1,41.92543,ANALOG,0,256,6,8,96.03962538369407,2560.0,TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,80.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,0.2806124614342842,0.2806124614342842,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,CLOSE_EXISTING_PROFILE,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
24,2,41.92543,ANALOG,0,256,6,8,96.03962538369407,2560.0,HfOx_02,10.1088/2634-4386/ac7327,HfOx,5.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,0.9235075212216405,0.9235075212216405,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,MODERATE_GAP,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
24,3,41.92543,ANALOG,0,256,6,8,96.03962538369407,2560.0,HfZrOx_01,10.1002/pssr.202000524,HfZrOx,2.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,1.321447529893678,1.321447529893678,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,LARGE_GAP,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
25,1,22.879029,GRADUAL_MULTILEVEL,0,256,6,8,96.04297186415808,2560.0,HfOx_01,10.1109/TNANO.2024.3485213,HfOx,45.4,GRADUAL_MULTILEVEL,0,0,absolute,IDEALIZED_GRADUAL_MAPPING,0.2976182640687399,0.2976182640687399,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,CLOSE_EXISTING_PROFILE,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
25,2,22.879029,GRADUAL_MULTILEVEL,0,256,6,8,96.04297186415808,2560.0,TiOx_04,10.1007/s42835-019-00107-y,TiOx,76.0,GRADUAL_MULTILEVEL,0,0,normalized_from_ratio,IDEALIZED_GRADUAL_MAPPING,0.5213760034924275,0.5213760034924275,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,MODERATE_GAP,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
25,3,22.879029,GRADUAL_MULTILEVEL,0,256,6,8,96.04297186415808,2560.0,TiOx_02_Pt,10.1038/s41598-019-44607-3,TiOx,2.128684,GRADUAL_MULTILEVEL,0,0,absolute,IDEALIZED_GRADUAL_MAPPING,1.031326392940505,1.031326392940505,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,LARGE_GAP,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
26,1,5.0,GRADUAL_MULTILEVEL,0,256,7,8,96.035742562684,2560.0,TiOx_02_Pt,10.1038/s41598-019-44607-3,TiOx,2.128684,GRADUAL_MULTILEVEL,0,0,absolute,IDEALIZED_GRADUAL_MAPPING,0.3708588084881598,0.3708588084881598,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,CLOSE_EXISTING_PROFILE,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
26,2,5.0,GRADUAL_MULTILEVEL,0,256,7,8,96.035742562684,2560.0,TiOx_02_Au,10.1038/s41598-019-44607-3,TiOx,1.705978,GRADUAL_MULTILEVEL,0,0,absolute,IDEALIZED_GRADUAL_MAPPING,0.46699657805563316,0.46699657805563316,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,CLOSE_EXISTING_PROFILE,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
26,3,5.0,GRADUAL_MULTILEVEL,0,256,7,8,96.035742562684,2560.0,TiOx_02_Ni,10.1038/s41598-019-44607-3,TiOx,1.10723,GRADUAL_MULTILEVEL,0,0,absolute,IDEALIZED_GRADUAL_MAPPING,0.6547321600105928,0.6547321600105928,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,MODERATE_GAP,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
27,1,12.485261,ANALOG,0,256,7,8,96.030960062684,2560.0,HfOx_02,10.1088/2634-4386/ac7327,HfOx,5.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,0.3974276212199891,0.3974276212199891,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,CLOSE_EXISTING_PROFILE,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
27,2,12.485261,ANALOG,0,256,7,8,96.030960062684,2560.0,HfZrOx_01,10.1002/pssr.202000524,HfZrOx,2.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,0.7953676298920267,0.7953676298920267,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,MODERATE_GAP,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
27,3,12.485261,ANALOG,0,256,7,8,96.030960062684,2560.0,TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,80.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,0.8066923614359356,0.8066923614359356,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,MODERATE_GAP,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
28,1,6.813303,GRADUAL_MULTILEVEL,0,256,7,8,96.035742562684,2560.0,TiOx_02_Pt,10.1038/s41598-019-44607-3,TiOx,2.128684,GRADUAL_MULTILEVEL,0,0,absolute,IDEALIZED_GRADUAL_MAPPING,0.5052465073880192,0.5052465073880192,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,MODERATE_GAP,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
28,2,6.813303,GRADUAL_MULTILEVEL,0,256,7,8,96.035742562684,2560.0,TiOx_02_Au,10.1038/s41598-019-44607-3,TiOx,1.705978,GRADUAL_MULTILEVEL,0,0,absolute,IDEALIZED_GRADUAL_MAPPING,0.6013842769554927,0.6013842769554927,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,MODERATE_GAP,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
28,3,6.813303,GRADUAL_MULTILEVEL,0,256,7,8,96.035742562684,2560.0,TiOx_02_Ni,10.1038/s41598-019-44607-3,TiOx,1.10723,GRADUAL_MULTILEVEL,0,0,absolute,IDEALIZED_GRADUAL_MAPPING,0.7891198589104522,0.7891198589104522,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,MODERATE_GAP,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
29,1,257.986731,ANALOG,0,256,6,8,96.05808271702742,2560.0,TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,80.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,0.5085073825306947,0.5085073825306947,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,MODERATE_GAP,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
29,2,257.986731,ANALOG,0,256,6,8,96.05808271702742,2560.0,HfOx_02,10.1088/2634-4386/ac7327,HfOx,5.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,1.7126273651866195,1.7126273651866195,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,LARGE_GAP,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
29,3,257.986731,ANALOG,0,256,6,8,96.05808271702742,2560.0,TiOx_04,10.1007/s42835-019-00107-y,TiOx,76.0,GRADUAL_MULTILEVEL,0,0,normalized_from_ratio,IDEALIZED_GRADUAL_MAPPING,2.0307837772418464,0.5307837772418467,1.0,0.0,NOT_REQUIRED_OR_UNKNOWN,LARGE_GAP,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
30,1,257.986731,GRADUAL_MULTILEVEL,0,256,6,8,96.05311331653904,2560.0,TiOx_04,10.1007/s42835-019-00107-y,TiOx,76.0,GRADUAL_MULTILEVEL,0,0,normalized_from_ratio,IDEALIZED_GRADUAL_MAPPING,0.5307837772418467,0.5307837772418467,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,MODERATE_GAP,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
30,2,257.986731,GRADUAL_MULTILEVEL,0,256,6,8,96.05311331653904,2560.0,HfOx_01,10.1109/TNANO.2024.3485213,HfOx,45.4,GRADUAL_MULTILEVEL,0,0,absolute,IDEALIZED_GRADUAL_MAPPING,0.7545415166655343,0.7545415166655343,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,MODERATE_GAP,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
30,3,257.986731,GRADUAL_MULTILEVEL,0,256,6,8,96.05311331653904,2560.0,TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,80.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,2.008507382530695,0.5085073825306947,1.0,0.0,NOT_REQUIRED_OR_UNKNOWN,LARGE_GAP,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
31,1,22.879029,ANALOG,0,256,6,8,96.03962538369407,2560.0,TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,80.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,0.5436523982035795,0.5436523982035795,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,MODERATE_GAP,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
31,2,22.879029,ANALOG,0,256,6,8,96.03962538369407,2560.0,HfOx_02,10.1088/2634-4386/ac7327,HfOx,5.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,0.6604675844523452,0.6604675844523452,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,MODERATE_GAP,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
31,3,22.879029,ANALOG,0,256,6,8,96.03962538369407,2560.0,HfZrOx_01,10.1002/pssr.202000524,HfZrOx,2.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,1.0584075931243828,1.0584075931243828,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,LARGE_GAP,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
32,1,2909.09,DISCRETE_MULTILEVEL,8,256,4,8,95.83251684569984,2560.0,TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,DISCRETE_MULTILEVEL,1,7,absolute,DERIVED_DEVICE_STATE_CAP,0.09632253897119791,0.0,0.0,0.19264507794239583,AVAILABLE,VERY_CLOSE_EXISTING_PROFILE,1.0,LITERATURE_CONSTRAINED,none
32,2,2909.09,DISCRETE_MULTILEVEL,8,256,4,8,95.83251684569984,2560.0,ZnO_01,10.3390/electronics7120445,ZnO,1000.0,DISCRETE_BINARY,1,2,normalized_from_ratio,BIT_SLICED_BINARY_MAPPING,2.963757157444634,0.46375715744463397,1.0,2.0,AVAILABLE,LARGE_GAP,0.75,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio
32,3,2909.09,DISCRETE_MULTILEVEL,8,256,4,8,95.83251684569984,2560.0,TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,80.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,3.8106671704526907,1.5606671704526904,1.0,1.5,MISSING_IN_MATCHED_PROFILE,LARGE_GAP,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
33,1,12.485261,GRADUAL_MULTILEVEL,0,256,7,8,96.03301994363638,2560.0,HfOx_01,10.1109/TNANO.2024.3485213,HfOx,45.4,GRADUAL_MULTILEVEL,0,0,absolute,IDEALIZED_GRADUAL_MAPPING,0.560658227301096,0.560658227301096,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,MODERATE_GAP,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
33,2,12.485261,GRADUAL_MULTILEVEL,0,256,7,8,96.03301994363638,2560.0,TiOx_02_Pt,10.1038/s41598-019-44607-3,TiOx,2.128684,GRADUAL_MULTILEVEL,0,0,absolute,IDEALIZED_GRADUAL_MAPPING,0.7682864297081489,0.7682864297081489,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,MODERATE_GAP,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
33,3,12.485261,GRADUAL_MULTILEVEL,0,256,7,8,96.03301994363638,2560.0,TiOx_04,10.1007/s42835-019-00107-y,TiOx,76.0,GRADUAL_MULTILEVEL,0,0,normalized_from_ratio,IDEALIZED_GRADUAL_MAPPING,0.7844159667247836,0.7844159667247836,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,MODERATE_GAP,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
34,1,1587.512707,DISCRETE_MULTILEVEL,8,256,4,8,95.83613003617604,2560.0,TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,DISCRETE_MULTILEVEL,1,7,absolute,DERIVED_DEVICE_STATE_CAP,0.35936248619487654,0.2630399472236786,0.0,0.19264507794239583,AVAILABLE,CLOSE_EXISTING_PROFILE,1.0,LITERATURE_CONSTRAINED,none
34,2,1587.512707,DISCRETE_MULTILEVEL,8,256,4,8,95.83613003617604,2560.0,ZnO_01,10.3390/electronics7120445,ZnO,1000.0,DISCRETE_BINARY,1,2,normalized_from_ratio,BIT_SLICED_BINARY_MAPPING,2.7007172102209553,0.20071721022095534,1.0,2.0,AVAILABLE,LARGE_GAP,0.75,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio
34,3,1587.512707,DISCRETE_MULTILEVEL,8,256,4,8,95.83613003617604,2560.0,TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,80.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,3.5476272232290116,1.2976272232290118,1.0,1.5,MISSING_IN_MATCHED_PROFILE,LARGE_GAP,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
35,1,1000.0,DISCRETE_MULTILEVEL,8,256,4,8,95.83613003617604,2560.0,TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,DISCRETE_MULTILEVEL,1,7,absolute,DERIVED_DEVICE_STATE_CAP,0.5600796964158319,0.46375715744463397,0.0,0.19264507794239583,AVAILABLE,MODERATE_GAP,1.0,LITERATURE_CONSTRAINED,none
35,2,1000.0,DISCRETE_MULTILEVEL,8,256,4,8,95.83613003617604,2560.0,ZnO_01,10.3390/electronics7120445,ZnO,1000.0,DISCRETE_BINARY,1,2,normalized_from_ratio,BIT_SLICED_BINARY_MAPPING,2.5,0.0,1.0,2.0,AVAILABLE,LARGE_GAP,0.75,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio
35,3,1000.0,DISCRETE_MULTILEVEL,8,256,4,8,95.83613003617604,2560.0,TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,80.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,3.3469100130080562,1.0969100130080565,1.0,1.5,MISSING_IN_MATCHED_PROFILE,LARGE_GAP,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
36,1,866.31785,DISCRETE_MULTILEVEL,8,256,4,8,95.83613003617604,2560.0,TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,DISCRETE_MULTILEVEL,1,7,absolute,DERIVED_DEVICE_STATE_CAP,0.6224024335271154,0.5260798945559175,0.0,0.19264507794239583,AVAILABLE,MODERATE_GAP,1.0,LITERATURE_CONSTRAINED,none
36,2,866.31785,DISCRETE_MULTILEVEL,8,256,4,8,95.83613003617604,2560.0,ZnO_01,10.3390/electronics7120445,ZnO,1000.0,DISCRETE_BINARY,1,2,normalized_from_ratio,BIT_SLICED_BINARY_MAPPING,2.5623227371112836,0.062322737111283555,1.0,2.0,AVAILABLE,LARGE_GAP,0.75,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio
36,3,866.31785,DISCRETE_MULTILEVEL,8,256,4,8,95.83613003617604,2560.0,TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,80.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,3.284587275896773,1.034587275896773,1.0,1.5,MISSING_IN_MATCHED_PROFILE,LARGE_GAP,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
37,1,472.75629,ANALOG,0,256,6,8,96.0573877170274,2560.0,TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,80.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,0.7715473288310426,0.7715473288310426,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,MODERATE_GAP,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
37,2,472.75629,ANALOG,0,256,6,8,96.0573877170274,2560.0,ZnO_01,10.3390/electronics7120445,ZnO,1000.0,DISCRETE_BINARY,1,2,normalized_from_ratio,BIT_SLICED_BINARY_MAPPING,1.8253626841770139,0.32536268417701386,1.0,0.0,NOT_REQUIRED_OR_UNKNOWN,LARGE_GAP,0.75,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio
37,3,472.75629,ANALOG,0,256,6,8,96.0573877170274,2560.0,HfOx_02,10.1088/2634-4386/ac7327,HfOx,5.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,1.9756673114869674,1.9756673114869674,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,LARGE_GAP,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
38,1,472.75629,GRADUAL_MULTILEVEL,0,256,6,8,96.05298303082472,2560.0,TiOx_04,10.1007/s42835-019-00107-y,TiOx,76.0,GRADUAL_MULTILEVEL,0,0,normalized_from_ratio,IDEALIZED_GRADUAL_MAPPING,0.7938237235421945,0.7938237235421945,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,MODERATE_GAP,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
38,2,472.75629,GRADUAL_MULTILEVEL,0,256,6,8,96.05298303082472,2560.0,HfOx_01,10.1109/TNANO.2024.3485213,HfOx,45.4,GRADUAL_MULTILEVEL,0,0,absolute,IDEALIZED_GRADUAL_MAPPING,1.0175814629658821,1.0175814629658821,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,LARGE_GAP,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
38,3,472.75629,GRADUAL_MULTILEVEL,0,256,6,8,96.05298303082472,2560.0,ZnO_01,10.3390/electronics7120445,ZnO,1000.0,DISCRETE_BINARY,1,2,normalized_from_ratio,BIT_SLICED_BINARY_MAPPING,1.8253626841770139,0.32536268417701386,1.0,0.0,NOT_REQUIRED_OR_UNKNOWN,LARGE_GAP,0.75,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio
39,1,472.75629,DISCRETE_MULTILEVEL,8,256,4,8,95.83613003617604,2560.0,TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,DISCRETE_MULTILEVEL,1,7,absolute,DERIVED_DEVICE_STATE_CAP,0.8854423805928457,0.7891198416216478,0.0,0.19264507794239583,AVAILABLE,MODERATE_GAP,1.0,LITERATURE_CONSTRAINED,none
